,category,name,format,price,unit
0,Fruta,Plátano de Canarias IGP,Pieza 160 g aprox.,0.32,ud.
1,Fruta,Banana,Pieza 180 g aprox.,0.26,ud.
2,Fruta,Plátano macho,Pieza 320 g aprox.,0.92,ud.
3,Fruta,Uva blanca sin semillas,Bandeja 500 g aprox.,2.55,ud.
4,Fruta,Uva roja sin semillas,Bandeja 500 g aprox.,2.55,ud.
5,Fruta,Manzana Golden,Pieza 210 g aprox.,0.44,ud.
6,Fruta,Manzanas Golden,"Bolsa 1,5 kg aprox.",2.84,ud.
7,Fruta,Pera Conferencia,Pieza 180 g aprox.,0.45,ud.
8,Fruta,Peras Conferencia,"1,5 kg aprox.",2.99,pack
9,Fruta,Manzanas rojas dulces,"Bolsa 1,5 kg aprox.",3.14,ud.
10,Fruta,Manzana roja dulce,Pieza 270 g aprox.,0.74,ud.
11,Fruta,Manzana Granny Smith,Pieza 190 g aprox.,0.4,ud.
12,Fruta,Pera Rocha,Pieza 130 g aprox.,0.31,ud.
13,Fruta,Manzana roja acidulce,Pieza 230 g aprox.,0.55,ud.
14,Fruta,Manzanas rojas acidulces,"Bolsa 1,5 kg aprox.",2.99,ud.
15,Fruta,Medio melón piel de sapo,"1/2 Pieza 1,71 kg aprox.",3.74,ud.
16,Fruta,Melón piel de sapo,"Pieza 3,39 kg aprox.",6.75,ud.
17,Fruta,Limones,Malla 1 kg,0.39,ud.
18,Fruta,Limón,Pieza 210 g aprox.,0.44,ud.
19,Fruta,Mandarina,Pieza 190 g aprox.,4.18,ud.
20,Fruta,Mandarinas,"1,5 kg",0.6,pack
21,Fruta,Mandarina,Malla 2 kg,4.47,ud.
22,Fruta,Naranja para mesa,Pieza 320 g aprox.,5.75,ud.
23,Fruta,Naranjas,Malla 3 kg,0.84,ud.
24,Fruta,Naranjas,Malla 5 kg,0.32,ud.
25,Fruta,Pomelo,Pieza 420 g aprox.,0.35,ud.
26,Fruta,Lima,Pieza 80 g aprox.,2.88,ud.
